space,pos,half
alexnets,104,TEST
alexnets,105,TEST
alexnets,106,TEST
alexnets,107,FIT
alexnets,108,TEST
alexnets,109,TEST
alexnets,110,FIT
alexnets,111,FIT
alexnets,112,FIT
alexnets,113,FIT
alexnets,114,TEST
alexnets,115,TEST
alexnets,116,FIT
alexnets,117,TEST
alexnets,118,TEST
alexnets,119,FIT
alexnets,120,TEST
alexnets,121,TEST
alexnets,122,TEST
alexnets,123,FIT
alexnets,124,TEST
alexnets,125,FIT
alexnets,126,FIT
alexnets,127,FIT
alexnets,128,FIT
alexnets,129,FIT
alexnets,130,FIT
alexnets,131,FIT
alexnets,132,FIT
alexnets,133,FIT
alexnets,134,FIT
alexnets,135,FIT
alexnets,136,FIT
alexnets,137,TEST
alexnets,138,FIT
alexnets,139,TEST
alexnets,140,FIT
alexnets,141,TEST
alexnets,142,FIT
alexnets,143,FIT
alexnets,144,FIT
alexnets,145,TEST
alexnets,146,FIT
alexnets,147,TEST
alexnets,148,FIT
alexnets,149,TEST
alexnets,150,FIT
alexnets,151,FIT
alexnets,152,FIT
alexnets,153,TEST
alexnets,154,TEST
alexnets,155,TEST
alexnets,156,FIT
alexnets,157,FIT
alexnets,158,FIT
alexnets,159,TEST
alexnets,160,TEST
alexnets,161,TEST
alexnets,162,TEST
alexnets,163,TEST
alexnets,164,TEST
alexnets,165,TEST
alexnets,166,FIT
alexnets,167,TEST
alexnets,168,FIT
alexnets,169,FIT
alexnets,170,TEST
alexnets,171,FIT
alexnets,172,FIT
alexnets,173,FIT
alexnets,174,FIT
alexnets,175,FIT
alexnets,176,FIT
alexnets,177,TEST
alexnets,178,TEST
alexnets,179,FIT
alexnets,180,FIT
alexnets,181,TEST
alexnets,182,TEST
alexnets,183,TEST
alexnets,184,FIT
alexnets,185,FIT
alexnets,186,FIT
alexnets,187,FIT
alexnets,188,TEST
alexnets,189,TEST
alexnets,190,TEST
alexnets,191,TEST
alexnets,192,FIT
alexnets,193,TEST
alexnets,194,TEST
alexnets,195,FIT
alexnets,196,TEST
alexnets,197,FIT
alexnets,198,FIT
alexnets,199,TEST
alexnets,200,TEST
alexnets,201,TEST
alexnets,202,TEST
alexnets,203,FIT
alexnets,204,TEST
alexnets,205,TEST
alexnets,206,TEST
alexnets,207,TEST
alexnets,208,FIT
alexnets,209,FIT
alexnets,210,TEST
alexnets,211,TEST
alexnets,212,TEST
alexnets,213,FIT
alexnets,214,FIT
alexnets,215,TEST
alexnets,216,FIT
alexnets,217,FIT
alexnets,218,FIT
alexnets,219,FIT
alexnets,220,FIT
alexnets,221,TEST
alexnets,222,FIT
alexnets,223,FIT
alexnets,224,TEST
alexnets,225,FIT
alexnets,226,TEST
alexnets,227,TEST
alexnets,228,TEST
alexnets,229,FIT
alexnets,230,FIT
alexnets,231,FIT
alexnets,232,FIT
alexnets,233,FIT
alexnets,234,FIT
alexnets,235,FIT
alexnets,236,FIT
alexnets,237,FIT
alexnets,238,FIT
alexnets,239,FIT
alexnets,240,TEST
alexnets,241,FIT
alexnets,242,TEST
alexnets,243,FIT
alexnets,244,TEST
alexnets,245,TEST
alexnets,246,TEST
alexnets,247,TEST
alexnets,248,FIT
alexnets,249,TEST
alexnets,250,FIT
alexnets,251,TEST
alexnets,252,FIT
alexnets,253,FIT
alexnets,254,FIT
alexnets,255,TEST
alexnets,256,TEST
alexnets,257,TEST
alexnets,258,FIT
alexnets,259,TEST
alexnets,260,FIT
alexnets,261,TEST
alexnets,262,TEST
alexnets,263,FIT
alexnets,264,TEST
alexnets,265,TEST
alexnets,266,TEST
alexnets,267,TEST
alexnets,268,FIT
alexnets,269,TEST
alexnets,270,TEST
alexnets,271,TEST
alexnets,272,TEST
alexnets,273,FIT
alexnets,274,FIT
alexnets,275,TEST
alexnets,276,FIT
alexnets,277,TEST
alexnets,278,FIT
alexnets,279,TEST
alexnets,280,TEST
alexnets,281,FIT
alexnets,282,FIT
alexnets,283,FIT
alexnets,284,FIT
alexnets,285,FIT
alexnets,286,TEST
alexnets,287,TEST
alexnets,288,TEST
alexnets,289,FIT
alexnets,290,TEST
alexnets,291,TEST
alexnets,292,FIT
alexnets,293,FIT
alexnets,294,TEST
alexnets,295,TEST
alexnets,296,TEST
alexnets,297,TEST
alexnets,298,FIT
alexnets,299,TEST
alexnets,300,TEST
alexnets,301,TEST
alexnets,302,FIT
alexnets,303,TEST
alexnets,304,FIT
alexnets,305,FIT
alexnets,306,FIT
alexnets,307,FIT
alexnets,308,TEST
alexnets,309,FIT
alexnets,310,FIT
alexnets,311,TEST
alexnets,312,FIT
alexnets,313,TEST
alexnets,314,TEST
alexnets,315,FIT
alexnets,316,TEST
alexnets,317,TEST
alexnets,318,TEST
alexnets,319,FIT
alexnets,320,TEST
alexnets,321,FIT
alexnets,322,FIT
alexnets,323,TEST
alexnets,324,FIT
alexnets,325,TEST
alexnets,326,TEST
alexnets,327,TEST
alexnets,328,TEST
alexnets,329,TEST
alexnets,330,TEST
alexnets,331,FIT
alexnets,332,TEST
alexnets,333,TEST
alexnets,334,FIT
alexnets,335,TEST
alexnets,336,TEST
alexnets,337,FIT
alexnets,338,FIT
alexnets,339,TEST
alexnets,340,FIT
alexnets,341,TEST
alexnets,342,FIT
alexnets,343,FIT
alexnets,344,FIT
alexnets,345,TEST
alexnets,346,FIT
alexnets,347,FIT
alexnets,348,TEST
alexnets,349,TEST
alexnets,350,FIT
alexnets,351,TEST
alexnets,352,FIT
alexnets,353,FIT
alexnets,354,FIT
alexnets,355,TEST
alexnets,356,FIT
alexnets,357,FIT
alexnets,358,TEST
alexnets,359,TEST
alexnets,360,TEST
alexnets,361,FIT
alexnets,362,TEST
alexnets,363,FIT
alexnets,364,TEST
alexnets,365,FIT
alexnets,366,TEST
alexnets,367,FIT
alexnets,368,FIT
alexnets,369,TEST
alexnets,370,FIT
alexnets,371,FIT
alexnets,372,TEST
alexnets,373,TEST
alexnets,374,TEST
alexnets,375,TEST
alexnets,376,TEST
alexnets,377,TEST
alexnets,378,FIT
alexnets,379,FIT
alexnets,380,FIT
alexnets,381,FIT
alexnets,382,TEST
alexnets,383,TEST
alexnets,384,TEST
alexnets,385,TEST
alexnets,386,TEST
alexnets,387,FIT
alexnets,388,FIT
alexnets,389,FIT
alexnets,390,FIT
alexnets,391,TEST
alexnets,392,TEST
alexnets,393,FIT
alexnets,394,FIT
alexnets,395,FIT
alexnets,396,FIT
alexnets,397,TEST
alexnets,398,TEST
alexnets,399,TEST
alexnets,400,FIT
alexnets,401,TEST
alexnets,402,TEST
alexnets,403,TEST
alexnets,404,TEST
alexnets,405,TEST
alexnets,406,FIT
alexnets,407,TEST
alexnets,408,FIT
alexnets,409,TEST
alexnets,410,TEST
alexnets,411,TEST
alexnets,412,TEST
alexnets,413,TEST
alexnets,414,TEST
alexnets,415,FIT
alexnets,416,TEST
alexnets,417,TEST
alexnets,418,FIT
alexnets,419,FIT
alexnets,420,FIT
alexnets,421,FIT
alexnets,422,TEST
alexnets,423,TEST
alexnets,424,FIT
alexnets,425,FIT
alexnets,426,TEST
alexnets,427,FIT
alexnets,428,TEST
alexnets,429,FIT
alexnets,430,FIT
alexnets,431,FIT
alexnets,432,TEST
alexnets,433,FIT
alexnets,434,FIT
alexnets,435,FIT
alexnets,436,FIT
alexnets,437,TEST
alexnets,438,TEST
alexnets,439,TEST
alexnets,440,TEST
alexnets,441,TEST
alexnets,442,TEST
alexnets,443,TEST
alexnets,444,FIT
alexnets,445,TEST
alexnets,446,TEST
alexnets,447,TEST
alexnets,448,FIT
alexnets,449,TEST
alexnets,450,TEST
alexnets,451,TEST
alexnets,452,TEST
alexnets,453,FIT
alexnets,454,FIT
alexnets,455,FIT
alexnets,456,TEST
alexnets,457,FIT
alexnets,458,TEST
alexnets,459,TEST
alexnets,460,TEST
alexnets,461,FIT
alexnets,462,TEST
alexnets,463,FIT
alexnets,464,TEST
alexnets,465,TEST
alexnets,466,TEST
alexnets,467,FIT
alexnets,468,TEST
alexnets,469,FIT
alexnets,470,FIT
alexnets,471,FIT
alexnets,472,FIT
alexnets,473,FIT
alexnets,474,FIT
alexnets,475,FIT
alexnets,476,FIT
alexnets,477,FIT
alexnets,478,TEST
alexnets,479,FIT
alexnets,480,TEST
alexnets,481,TEST
alexnets,482,TEST
alexnets,483,FIT
alexnets,484,FIT
alexnets,485,TEST
alexnets,486,TEST
alexnets,487,TEST
alexnets,488,TEST
alexnets,489,FIT
alexnets,490,TEST
alexnets,491,TEST
alexnets,492,FIT
alexnets,493,FIT
alexnets,494,TEST
alexnets,495,TEST
alexnets,496,TEST
alexnets,497,TEST
alexnets,498,TEST
alexnets,499,TEST
alexnets,500,TEST
alexnets,501,FIT
alexnets,502,FIT
alexnets,503,TEST
alexnets,504,FIT
alexnets,505,FIT
alexnets,506,FIT
alexnets,507,TEST
alexnets,508,FIT
alexnets,509,FIT
alexnets,510,FIT
alexnets,511,FIT
alexnets,512,TEST
alexnets,513,FIT
alexnets,514,FIT
alexnets,515,TEST
alexnets,516,FIT
alexnets,517,TEST
alexnets,518,FIT
alexnets,519,TEST
alexnets,520,FIT
alexnets,521,TEST
alexnets,522,TEST
alexnets,523,TEST
alexnets,524,TEST
alexnets,525,TEST
alexnets,526,TEST
alexnets,527,TEST
alexnets,528,TEST
alexnets,529,FIT
alexnets,530,FIT
alexnets,531,FIT
alexnets,532,FIT
alexnets,533,TEST
alexnets,534,TEST
alexnets,535,TEST
alexnets,536,FIT
alexnets,537,FIT
alexnets,538,FIT
alexnets,539,FIT
alexnets,540,TEST
alexnets,541,FIT
alexnets,542,FIT
alexnets,543,TEST
alexnets,544,FIT
alexnets,545,TEST
alexnets,546,FIT
alexnets,547,FIT
alexnets,548,FIT
alexnets,549,FIT
alexnets,550,TEST
alexnets,551,FIT
alexnets,552,FIT
alexnets,553,FIT
alexnets,554,FIT
alexnets,555,TEST
alexnets,556,FIT
alexnets,557,FIT
alexnets,558,TEST
alexnets,559,TEST
alexnets,560,TEST
alexnets,561,TEST
alexnets,562,TEST
alexnets,563,FIT
alexnets,564,TEST
alexnets,565,TEST
alexnets,566,TEST
alexnets,567,FIT
alexnets,568,TEST
alexnets,569,TEST
alexnets,570,TEST
alexnets,571,FIT
alexnets,572,FIT
alexnets,573,FIT
alexnets,574,TEST
alexnets,575,TEST
alexnets,576,TEST
alexnets,577,TEST
alexnets,578,FIT
alexnets,579,FIT
alexnets,580,FIT
alexnets,581,FIT
alexnets,582,TEST
alexnets,583,FIT
alexnets,584,TEST
alexnets,585,FIT
alexnets,586,TEST
alexnets,587,TEST
alexnets,588,TEST
alexnets,589,TEST
alexnets,590,TEST
alexnets,591,FIT
alexnets,592,TEST
alexnets,593,FIT
alexnets,594,TEST
alexnets,595,FIT
alexnets,596,FIT
alexnets,597,TEST
alexnets,598,FIT
alexnets,599,FIT
alexnets,600,TEST
alexnets,601,FIT
alexnets,602,FIT
alexnets,603,TEST
alexnets,604,TEST
alexnets,605,TEST
alexnets,606,FIT
alexnets,607,FIT
alexnets,608,FIT
alexnets,609,FIT
alexnets,610,FIT
alexnets,611,TEST
alexnets,612,FIT
alexnets,613,TEST
alexnets,614,FIT
alexnets,615,FIT
alexnets,616,TEST
alexnets,617,TEST
alexnets,618,TEST
alexnets,619,FIT
alexnets,620,TEST
alexnets,621,TEST
alexnets,622,TEST
alexnets,623,TEST
alexnets,624,TEST
alexnets,625,TEST
alexnets,626,TEST
alexnets,627,TEST
alexnets,628,TEST
alexnets,629,TEST
alexnets,630,FIT
alexnets,631,FIT
alexnets,632,FIT
alexnets,633,TEST
alexnets,634,TEST
alexnets,635,TEST
alexnets,636,FIT
alexnets,637,TEST
alexnets,638,TEST
alexnets,639,FIT
alexnets,640,FIT
alexnets,641,TEST
alexnets,642,TEST
alexnets,643,FIT
alexnets,644,TEST
alexnets,645,TEST
alexnets,646,TEST
alexnets,647,FIT
alexnets,648,FIT
alexnets,649,TEST
alexnets,650,TEST
alexnets,651,FIT
alexnets,652,TEST
alexnets,653,TEST
alexnets,654,TEST
alexnets,655,FIT
alexnets,656,FIT
alexnets,657,FIT
alexnets,658,TEST
alexnets,659,FIT
alexnets,660,FIT
alexnets,661,TEST
alexnets,662,FIT
alexnets,663,FIT
alexnets,664,FIT
alexnets,665,TEST
alexnets,666,FIT
alexnets,667,TEST
alexnets,668,TEST
alexnets,669,TEST
alexnets,670,TEST
alexnets,671,TEST
alexnets,672,TEST
alexnets,673,TEST
alexnets,674,FIT
alexnets,675,TEST
alexnets,676,FIT
alexnets,677,FIT
alexnets,678,TEST
alexnets,679,FIT
alexnets,680,FIT
alexnets,681,FIT
alexnets,682,FIT
alexnets,683,FIT
alexnets,684,FIT
alexnets,685,FIT
alexnets,686,FIT
alexnets,687,TEST
alexnets,688,FIT
alexnets,689,TEST
alexnets,690,TEST
alexnets,691,FIT
alexnets,692,FIT
alexnets,693,FIT
alexnets,694,FIT
alexnets,695,TEST
alexnets,696,FIT
alexnets,697,FIT
alexnets,698,FIT
alexnets,699,FIT
alexnets,700,TEST
alexnets,701,FIT
alexnets,702,FIT
alexnets,703,FIT
alexnets,704,TEST
alexnets,705,FIT
alexnets,706,TEST
alexnets,707,TEST
alexnets,708,TEST
alexnets,709,TEST
alexnets,710,FIT
alexnets,711,FIT
alexnets,712,TEST
alexnets,713,FIT
alexnets,714,TEST
alexnets,715,FIT
alexnets,716,FIT
alexnets,717,FIT
alexnets,718,TEST
alexnets,719,FIT
alexnets,720,FIT
alexnets,721,TEST
alexnets,722,FIT
alexnets,723,FIT
alexnets,724,TEST
alexnets,725,TEST
alexnets,726,FIT
alexnets,727,TEST
alexnets,728,FIT
alexnets,729,FIT
alexnets,730,TEST
alexnets,731,TEST
alexnets,732,TEST
alexnets,733,TEST
alexnets,734,FIT
alexnets,735,TEST
alexnets,736,TEST
alexnets,737,FIT
alexnets,738,FIT
alexnets,739,TEST
alexnets,740,TEST
alexnets,741,FIT
alexnets,742,TEST
alexnets,743,FIT
alexnets,744,FIT
alexnets,745,FIT
alexnets,746,TEST
alexnets,747,FIT
alexnets,748,FIT
alexnets,749,TEST
alexnets,750,TEST
alexnets,751,FIT
alexnets,752,TEST
alexnets,753,TEST
alexnets,754,TEST
alexnets,755,FIT
alexnets,756,FIT
alexnets,757,TEST
alexnets,758,TEST
alexnets,759,FIT
alexnets,760,TEST
alexnets,761,FIT
alexnets,762,TEST
alexnets,763,TEST
alexnets,764,TEST
alexnets,765,TEST
alexnets,766,FIT
alexnets,767,FIT
alexnets,768,TEST
alexnets,769,TEST
alexnets,770,TEST
alexnets,771,FIT
alexnets,772,FIT
alexnets,773,FIT
alexnets,774,TEST
alexnets,775,TEST
alexnets,776,FIT
alexnets,777,TEST
alexnets,778,TEST
alexnets,779,TEST
alexnets,780,TEST
alexnets,781,TEST
alexnets,782,TEST
alexnets,783,FIT
alexnets,784,FIT
alexnets,785,FIT
alexnets,786,FIT
alexnets,787,TEST
alexnets,788,TEST
alexnets,789,TEST
alexnets,790,FIT
alexnets,791,TEST
alexnets,792,FIT
alexnets,793,FIT
alexnets,794,TEST
alexnets,795,FIT
alexnets,796,TEST
alexnets,797,FIT
alexnets,798,TEST
alexnets,799,TEST
alexnets,800,FIT
alexnets,801,TEST
alexnets,802,FIT
alexnets,803,FIT
alexnets,804,FIT
alexnets,805,TEST
alexnets,806,TEST
alexnets,807,TEST
alexnets,808,FIT
alexnets,809,TEST
alexnets,810,FIT
alexnets,811,FIT
alexnets,812,FIT
alexnets,813,TEST
alexnets,814,TEST
alexnets,815,TEST
alexnets,816,TEST
alexnets,817,FIT
alexnets,818,FIT
alexnets,819,FIT
alexnets,820,TEST
alexnets,821,TEST
alexnets,822,TEST
alexnets,823,FIT
alexnets,824,TEST
alexnets,825,TEST
alexnets,826,TEST
alexnets,827,TEST
alexnets,828,TEST
alexnets,829,FIT
alexnets,830,TEST
alexnets,831,FIT
alexnets,832,TEST
alexnets,833,FIT
alexnets,834,TEST
alexnets,835,FIT
alexnets,836,TEST
alexnets,837,FIT
alexnets,838,TEST
alexnets,839,TEST
alexnets,840,TEST
alexnets,841,FIT
alexnets,842,TEST
alexnets,843,FIT
alexnets,844,TEST
alexnets,845,FIT
alexnets,846,TEST
alexnets,847,FIT
alexnets,848,FIT
alexnets,849,TEST
alexnets,850,FIT
alexnets,851,TEST
alexnets,852,TEST
alexnets,853,FIT
alexnets,854,FIT
alexnets,855,TEST
alexnets,856,TEST
alexnets,857,TEST
alexnets,858,FIT
alexnets,859,FIT
alexnets,860,FIT
alexnets,861,TEST
alexnets,862,TEST
alexnets,863,FIT
alexnets,864,FIT
alexnets,865,FIT
alexnets,866,FIT
alexnets,867,TEST
alexnets,868,FIT
alexnets,869,TEST
alexnets,870,TEST
alexnets,871,FIT
alexnets,872,FIT
alexnets,873,TEST
alexnets,874,FIT
alexnets,875,FIT
alexnets,876,FIT
alexnets,877,FIT
alexnets,878,TEST
alexnets,879,FIT
alexnets,880,FIT
alexnets,881,FIT
alexnets,882,FIT
alexnets,883,FIT
alexnets,884,FIT
alexnets,885,FIT
alexnets,886,TEST
alexnets,887,TEST
alexnets,888,TEST
alexnets,889,TEST
alexnets,890,FIT
alexnets,891,TEST
alexnets,892,FIT
alexnets,893,TEST
alexnets,894,TEST
alexnets,895,TEST
alexnets,896,FIT
alexnets,897,FIT
alexnets,898,FIT
alexnets,899,FIT
alexnets,900,FIT
alexnets,901,TEST
alexnets,902,FIT
alexnets,903,TEST
alexnets,904,TEST
alexnets,905,FIT
alexnets,906,TEST
alexnets,907,FIT
alexnets,908,TEST
alexnets,909,FIT
alexnets,910,TEST
alexnets,911,FIT
alexnets,912,FIT
alexnets,913,TEST
alexnets,914,TEST
alexnets,915,TEST
alexnets,916,TEST
alexnets,917,FIT
alexnets,918,TEST
alexnets,919,TEST
alexnets,920,TEST
alexnets,921,FIT
alexnets,922,TEST
alexnets,923,FIT
alexnets,924,FIT
alexnets,925,TEST
alexnets,926,TEST
alexnets,927,FIT
alexnets,928,TEST
alexnets,929,TEST
alexnets,930,TEST
alexnets,931,TEST
alexnets,932,TEST
alexnets,933,FIT
alexnets,934,FIT
alexnets,935,FIT
alexnets,936,FIT
alexnets,937,FIT
alexnets,938,TEST
alexnets,939,FIT
alexnets,940,FIT
alexnets,941,FIT
alexnets,942,FIT
alexnets,943,TEST
alexnets,944,TEST
alexnets,945,FIT
alexnets,946,FIT
alexnets,947,FIT
alexnets,948,TEST
alexnets,949,TEST
alexnets,950,TEST
alexnets,951,TEST
alexnets,952,TEST
alexnets,953,FIT
alexnets,954,TEST
alexnets,955,TEST
alexnets,956,FIT
alexnets,957,FIT
alexnets,958,TEST
alexnets,959,FIT
alexnets,960,TEST
alexnets,961,TEST
alexnets,962,TEST
alexnets,963,TEST
alexnets,964,TEST
alexnets,965,FIT
alexnets,966,TEST
alexnets,967,FIT
alexnets,968,TEST
alexnets,969,FIT
alexnets,970,TEST
alexnets,971,FIT
alexnets,972,FIT
alexnets,973,TEST
alexnets,974,FIT
alexnets,975,TEST
alexnets,976,FIT
alexnets,977,TEST
alexnets,978,TEST
alexnets,979,TEST
alexnets,980,FIT
alexnets,981,FIT
alexnets,982,TEST
alexnets,983,FIT
alexnets,984,TEST
alexnets,985,FIT
alexnets,986,TEST
alexnets,987,TEST
alexnets,988,TEST
alexnets,989,TEST
alexnets,990,TEST
alexnets,991,FIT
alexnets,992,FIT
alexnets,993,FIT
alexnets,994,TEST
alexnets,995,TEST
alexnets,996,TEST
alexnets,997,FIT
alexnets,998,TEST
alexnets,999,TEST
alexnets,1000,TEST
alexnets,1001,FIT
alexnets,1002,TEST
alexnets,1003,FIT
alexnets,1004,FIT
alexnets,1005,FIT
alexnets,1006,TEST
alexnets,1007,TEST
alexnets,1008,TEST
alexnets,1009,TEST
alexnets,1010,FIT
alexnets,1011,FIT
alexnets,1012,FIT
alexnets,1013,TEST
alexnets,1014,FIT
alexnets,1015,TEST
alexnets,1016,FIT
alexnets,1017,FIT
alexnets,1018,TEST
alexnets,1019,TEST
alexnets,1020,TEST
alexnets,1021,FIT
alexnets,1022,TEST
alexnets,1023,TEST
alexnets,1024,FIT
alexnets,1025,TEST
alexnets,1026,FIT
alexnets,1027,FIT
alexnets,1028,TEST
alexnets,1029,FIT
alexnets,1030,TEST
alexnets,1031,FIT
alexnets,1032,TEST
alexnets,1033,FIT
alexnets,1034,TEST
alexnets,1035,FIT
alexnets,1036,FIT
alexnets,1037,TEST
alexnets,1038,FIT
alexnets,1039,TEST
alexnets,1040,FIT
alexnets,1041,TEST
alexnets,1042,TEST
alexnets,1043,FIT
alexnets,1044,FIT
alexnets,1045,TEST
alexnets,1046,TEST
alexnets,1047,TEST
alexnets,1048,TEST
alexnets,1049,FIT
alexnets,1050,TEST
alexnets,1051,TEST
alexnets,1052,FIT
alexnets,1053,FIT
alexnets,1054,FIT
alexnets,1055,TEST
alexnets,1056,TEST
alexnets,1057,TEST
alexnets,1058,TEST
alexnets,1059,FIT
alexnets,1060,FIT
alexnets,1061,FIT
alexnets,1062,FIT
alexnets,1063,FIT
alexnets,1064,TEST
alexnets,1065,TEST
alexnets,1066,TEST
alexnets,1067,FIT
alexnets,1068,TEST
alexnets,1069,FIT
alexnets,1070,FIT
alexnets,1071,FIT
alexnets,1072,FIT
alexnets,1073,FIT
alexnets,1074,TEST
alexnets,1075,FIT
alexnets,1076,TEST
alexnets,1077,TEST
alexnets,1078,TEST
alexnets,1079,FIT
alexnets,1080,FIT
alexnets,1081,TEST
alexnets,1082,TEST
alexnets,1083,FIT
alexnets,1084,FIT
alexnets,1085,FIT
alexnets,1086,TEST
alexnets,1087,TEST
alexnets,1088,FIT
alexnets,1089,TEST
alexnets,1090,FIT
alexnets,1091,TEST
alexnets,1092,TEST
alexnets,1093,TEST
alexnets,1094,TEST
alexnets,1095,TEST
alexnets,1096,FIT
alexnets,1097,TEST
alexnets,1098,TEST
alexnets,1099,TEST
alexnets,1100,TEST
alexnets,1101,FIT
alexnets,1102,TEST
alexnets,1103,FIT
alexnets,1104,FIT
alexnets,1105,TEST
alexnets,1106,FIT
alexnets,1107,FIT
alexnets,1108,TEST
alexnets,1109,FIT
alexnets,1110,FIT
alexnets,1111,TEST
alexnets,1112,FIT
alexnets,1113,TEST
alexnets,1114,TEST
alexnets,1115,FIT
alexnets,1116,FIT
alexnets,1117,TEST
alexnets,1118,TEST
alexnets,1119,TEST
alexnets,1120,FIT
alexnets,1121,FIT
alexnets,1122,FIT
alexnets,1123,TEST
alexnets,1124,FIT
alexnets,1125,FIT
alexnets,1126,FIT
alexnets,1127,TEST
alexnets,1128,TEST
alexnets,1129,FIT
alexnets,1130,FIT
alexnets,1131,TEST
alexnets,1132,FIT
alexnets,1133,TEST
alexnets,1134,FIT
alexnets,1135,TEST
alexnets,1136,TEST
alexnets,1137,TEST
alexnets,1138,TEST
alexnets,1139,TEST
alexnets,1140,FIT
alexnets,1141,FIT
alexnets,1142,FIT
alexnets,1143,TEST
alexnets,1144,FIT
alexnets,1145,FIT
alexnets,1146,TEST
alexnets,1147,TEST
alexnets,1148,FIT
alexnets,1149,FIT
alexnets,1150,FIT
alexnets,1151,FIT
alexnets,1152,TEST
alexnets,1153,FIT
alexnets,1154,FIT
alexnets,1155,FIT
alexnets,1156,FIT
alexnets,1157,FIT
alexnets,1158,TEST
alexnets,1159,FIT
alexnets,1160,FIT
alexnets,1161,TEST
alexnets,1162,FIT
alexnets,1163,FIT
alexnets,1164,FIT
alexnets,1165,TEST
alexnets,1166,FIT
alexnets,1167,FIT
alexnets,1168,TEST
alexnets,1169,FIT
alexnets,1170,TEST
alexnets,1171,TEST
alexnets,1172,TEST
alexnets,1173,TEST
alexnets,1174,FIT
alexnets,1175,FIT
alexnets,1176,FIT
alexnets,1177,FIT
alexnets,1178,FIT
alexnets,1179,TEST
alexnets,1180,FIT
alexnets,1181,TEST
alexnets,1182,TEST
alexnets,1183,FIT
alexnets,1184,TEST
alexnets,1185,FIT
alexnets,1186,TEST
alexnets,1187,FIT
alexnets,1188,FIT
alexnets,1189,FIT
alexnets,1190,TEST
alexnets,1191,TEST
alexnets,1192,TEST
alexnets,1193,TEST
alexnets,1194,TEST
alexnets,1195,FIT
alexnets,1196,TEST
alexnets,1197,FIT
alexnets,1198,TEST
alexnets,1199,TEST
alexnets,1200,TEST
alexnets,1201,TEST
alexnets,1202,FIT
alexnets,1203,FIT
alexnets,1204,FIT
alexnets,1205,TEST
alexnets,1206,TEST
alexnets,1207,FIT
alexnets,1208,FIT
alexnets,1209,FIT
alexnets,1210,TEST
alexnets,1211,TEST
alexnets,1212,TEST
alexnets,1213,FIT
alexnets,1214,TEST
alexnets,1215,TEST
alexnets,1216,FIT
alexnets,1217,FIT
alexnets,1218,TEST
alexnets,1219,TEST
alexnets,1220,TEST
alexnets,1221,FIT
alexnets,1222,FIT
alexnets,1223,FIT
alexnets,1224,FIT
alexnets,1225,TEST
alexnets,1226,FIT
alexnets,1227,FIT
alexnets,1228,TEST
alexnets,1229,TEST
alexnets,1230,FIT
alexnets,1231,FIT
alexnets,1232,FIT
alexnets,1233,TEST
alexnets,1234,TEST
alexnets,1235,FIT
alexnets,1236,TEST
alexnets,1237,FIT
alexnets,1238,TEST
alexnets,1239,TEST
alexnets,1240,TEST
alexnets,1241,TEST
alexnets,1242,TEST
alexnets,1243,FIT
alexnets,1244,TEST
alexnets,1245,TEST
alexnets,1246,TEST
alexnets,1247,TEST
